Comment,Description,Designator,Footprint,LibRef,Quantity
,,,,,
22,无极性贴片电容,"C1, C2, C3, C4, C5, C6, C49, C50",C 0201,C,8
104,无极性贴片电容,"C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48",C 0201,C,42
104,无极性贴片电容,C51,C 0805,C,1
107E,贴片钽电容,"E1, E2, E3, E4, E5, E6, E7, E8, E9, E10",CD A(3216),C-CD,10
1000uF,直插固态电容,E11,CS 2.0*5*8 - C,C-CS,1
CH340G,串口转USB,IC1,SOP16_L,CH340G,1
GL850,4 Port USB HUB,IC2,SSOP28_M,GL850G,1
PCA9685,,IC3,TSSOP28_M,PCA9685,1
HCPL2630,高速光电耦合器 10Mbit/s,"IC4, IC5, IC6, IC7, IC8, IC9, IC10, IC11",DIP8-300,HC,8
MAX485,485通信芯片,"IC12, IC13",SOP8W_M,MAX,2
HK4100F-DC5V-SHG,单路双控继电器,"JK1, JK2",HK4100F,HK4100F,2
Header3X2,3*2P接插件,"JP1, JP2, JP3, JP4",HDR-3X2,Header 3X2,4
HDR-1X16,16P接插件,"JP5, JP8, JP10",HDR-1X16,Head,3
Header 4X2,4*2P接插件,"JP6, JP7, JP13, JP14, JP15, JP18, JP19, JP20",HDR-4X2,Heade,8
HDR-1X4,4P接插件,"JP9, JP17",HDR-1X4,Hea,2
HDR-1X2,2P接插件,"JP11, JP12, JP21",HDR-1X2,Hea,3
HDR-1X8,8P接插件,JP16,HDR-1X8,Hea,1
10um,小功率贴片电感,L1,L 0402,L,1
红色,贴片LED,"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16",LED 0603W,LED-SM,16
FPDK12SR8006PSV,DC-DC POWER CONVERTOR 12V-TO-5V,"M1, M2, M3, M4, M5, M6",FPDK12SR8006PSV,FPDK12SR8006PSV,6
SS8050,高频放大-NPN型,"Q1, Q2",SOT23-3N,8,2
650,贴片电阻,R1,R 0201,R,1
22,贴片电阻,"R2, R3, R7, R8",R 0201,R,4
10K,贴片电阻,"R4, R9, R11, R12, R13, R14, R15, R53, R54",R 0201,R,9
4K7,贴片电阻,"R5, R6",R 0201,R,2
1K,插件单联电位器,"R10, RP1, RP2, RP3, RP4, RP5",3296W,RP-ID,6
1K,贴片电阻,"R16, R17, R18, R19, R20, R21, R22, R44, R45, R46, R47, R48, R49, R50, R51, R52, R71, R73, R74, R75, R76, R77, R78, R88, R89, R90",R 0201,R,26
1K,贴片电阻,"R23, R24",R 0805,R,2
100,贴片电阻,"R27, R28, R29, R30, R31, R32, R33, R34, R35, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R79, R80, R81, R82, R83, R84, R85, R86",R 0201,R,33
510,贴片电阻,"R72, R87",R 0201,R,2
120,贴片电阻,R91,R 0201,R,1
STM32F103CBT6,Flaah:64/RAM:20/IO:36,U1,LQFP48 7X7_N,S,1
STM32F103VET6,32位STM单片机100引脚,U2,LQFP100 14X14_L,STM32F103V,1
USB-5P,微型USB母座,USB1,USB-MICRO_A,USB-5P,1
USB,USB-A型母接口,"USB2, USB3",USB-A/S_B,U,2
AMS1117-3V3,三端稳压芯片,"V1, V2, V3",SOT223_L,AMS1117,3
SS34,肖特基二极管,"VD1, VD2, VD3",SMC,SS34,3
M7,整流二极管,"VD4, VD5",SMA,M7,2
8MHz,2脚晶振,"X1, X4",XTAL-49S DIP,XTAL-2,2
12MHz,2脚晶振,"X2, X3",XTAL-49S DIP,XTAL-2,2
,,,,,
,,,,,
,,,,,
,,,,,
Comment,Description,Designator,Footprint,LibRef,Quantity
,,,,,
22,无极性贴片电容,"C1, C2",C 0805,C,2
104,无极性贴片电容,"C3, C4",C 0805,C,2
VB60100C,60A 100V 肖特基势垒二极管,"D1, D2, D3, D4",TO263-3B,VB60100C,4
330UF/25V,直插固态电容,E1,CS 3.5*8*8 - C,C-CS,1
107E,贴片钽电容,"E2, E3, E4",CD D(7343),C-CD,3
10UF/6.3V,直插固态电容,E5,CS 3.5*8*11.5 - C,C-CS,1
PCA9685,,IC1,TSSOP28_M,PCA9685,1
MAX485,485通信芯片,"IC2, IC3",SOP8W_M,MAX485,2
HDR-1X4,4P接插件,"JP1, JP2, JP4, JP7, JP9",KF128-5.08-4P,Header 4,5
Header3X2,3*2P接插件,JP3,HDR-3X2,Header 3X2,1
HDR-1X6,6P接插件,JP5,KF128-5.08-6P,Header 6,1
Header 4X2,4*2P接插件,JP6,HDR-4X2,Header 4X2,1
HDR-1X4,4P接插件,JP8,HDR-1X4,Header 4,1
HDR-1X8,8P接插件,JP10,HDR-1X8,Header 8,1
HDR-1X2,2P接插件,JP11,KF128-5.08-2P,Header 2,1
HDR-1X16,16P接插件,"JP12, JP13, JP14",HDR-1X16,Header 16,3
红色,贴片LED,"LED1, LED2, LED3, LED4, LED5, LED6",LED 0805G,LED-SMD,6
FPDK12SR8006PSV,DC-DC POWER CONVERTOR 12V-TO-5V,M1,FPDK12SR8006PSV,FPDK12SR8006PSV,1
1K,贴片电阻,"R1, R5, R13, R22, R30, R31, R32",R 0805,R,7
10K,贴片电阻,"R2, R3, R4, R6, R7, R8, R9, R10, R12",R 0805,R,9
120,贴片电阻,"R11, R14, R15, R16, R17, R18, R19, R20, R21, R23, R24, R25, R26, R27, R28, R29",R 0805,R,16
100,贴片电阻,R33,R 0805,R,1
10K,插件单联电位器,RP1,3296W,RP-ID,1
STM32F103C8T6,Flaah:64/RAM:20/IO:36,U1,LQFP48 7X7_M,STM32F103C8T6,1
AMS1117-3V3,三端稳压芯片,V1,SOT223_M,AMS1117,1
8MHz,2脚晶振,X1,XTAL-49S DIP,XTAL-2,1
